id	send_uid	recv_uid	cp_num	cp_cycle_day	created	updated
1620	12458600	12463823	78	2019-12-19	2019-12-19 00:09:03	2019-12-20 14:15:27
1621	12261454	12459458	39	2019-12-19	2019-12-19 00:32:12	2019-12-19 00:32:12
1622	12300896	12459458	39	2019-12-19	2019-12-19 00:32:12	2019-12-19 00:32:12
1623	12444863	12459458	39	2019-12-19	2019-12-19 00:34:14	2019-12-19 00:34:14
1624	12459458	12465458	39	2019-12-19	2019-12-19 00:34:14	2019-12-19 00:34:14
1625	12459458	12463774	39	2019-12-19	2019-12-19 00:34:14	2019-12-19 00:34:14
1626	12293694	12459458	39	2019-12-19	2019-12-19 00:34:14	2019-12-19 00:34:14
1627	12397755	12461399	1098	2019-12-19	2019-12-19 00:39:46	2019-12-23 21:30:09
1628	12323748	12397755	1197	2019-12-19	2019-12-19 00:40:53	2019-12-20 14:52:08
1629	12463823	12466716	99	2019-12-19	2019-12-19 00:45:33	2019-12-19 00:45:33
1630	12401226	12420472	495	2019-12-19	2019-12-19 00:46:20	2019-12-21 00:40:10
1631	12380165	12401226	99	2019-12-19	2019-12-19 00:46:59	2019-12-19 00:46:59
1632	12401226	12455295	99	2019-12-19	2019-12-19 00:48:30	2019-12-19 00:48:30
1633	12099947	12401226	99	2019-12-19	2019-12-19 00:48:31	2019-12-19 00:48:31
1634	12401226	12448927	99	2019-12-19	2019-12-19 00:50:56	2019-12-19 00:50:56
1635	12462905	12463823	276	2019-12-19	2019-12-19 00:56:38	2019-12-21 19:23:15
1636	12457613	12462552	156	2019-12-19	2019-12-19 01:08:07	2019-12-19 01:08:15
1640	12416582	12463823	99	2019-12-19	2019-12-19 01:12:04	2019-12-19 01:12:04
1641	12445000	12459233	39	2019-12-19	2019-12-19 01:26:32	2019-12-19 01:26:32
1642	12459233	12467202	39	2019-12-19	2019-12-19 01:26:32	2019-12-19 01:26:32
1643	12459233	12463052	39	2019-12-19	2019-12-19 01:26:32	2019-12-19 01:26:32
1644	12459233	12467231	39	2019-12-19	2019-12-19 01:26:32	2019-12-19 01:26:32
1645	12459233	12466819	39	2019-12-19	2019-12-19 01:26:32	2019-12-19 01:26:32
1646	12300896	12463823	1809	2019-12-19	2019-12-19 02:02:45	2019-12-22 23:12:03
1649	12404166	12458118	198	2019-12-19	2019-12-19 02:11:37	2019-12-22 19:24:45
1650	12323748	12387465	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1651	12387465	12418020	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1652	12353726	12387465	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1653	12387465	12389381	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1654	12387465	12405484	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1655	12387465	12404166	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1656	12387465	12467062	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1657	12387465	12404299	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1658	12387465	12416270	39	2019-12-19	2019-12-19 02:37:35	2019-12-19 02:37:35
1659	12402258	12466153	393	2019-12-19	2019-12-19 02:43:57	2019-12-23 17:01:48
1660	12353726	12459458	39	2019-12-19	2019-12-19 02:44:45	2019-12-19 02:44:45
1661	12459458	12463195	39	2019-12-19	2019-12-19 02:45:44	2019-12-19 02:45:44
1662	12463823	12467258	375	2019-12-19	2019-12-19 02:51:52	2019-12-22 03:33:19
1663	12404166	12459458	297	2019-12-19	2019-12-19 02:53:55	2019-12-25 00:05:17
1664	12416726	12464392	78	2019-12-19	2019-12-19 03:31:30	2019-12-23 02:06:36
1665	12461399	12463023	86508	2019-12-19	2019-12-19 03:56:19	2019-12-24 17:52:41
1666	12405820	12461399	1494	2019-12-19	2019-12-19 03:56:23	2019-12-23 05:41:39
1667	12427678	12461399	396	2019-12-19	2019-12-19 03:56:26	2019-12-20 08:18:17
1668	12460653	12461399	99	2019-12-19	2019-12-19 03:56:29	2019-12-19 03:56:29
1669	12453899	12461399	198	2019-12-19	2019-12-19 03:56:32	2019-12-19 04:00:04
1672	12461399	12466078	99	2019-12-19	2019-12-19 05:25:58	2019-12-19 05:25:58
1673	12461399	12462538	99	2019-12-19	2019-12-19 06:44:29	2019-12-19 06:44:29
1675	12461399	12464680	99	2019-12-19	2019-12-19 06:44:29	2019-12-19 06:44:29
1676	12461399	12465275	99	2019-12-19	2019-12-19 06:44:29	2019-12-19 06:44:29
1677	12461399	12467060	99	2019-12-19	2019-12-19 06:44:29	2019-12-19 06:44:29
1679	12388886	12463823	138	2019-12-19	2019-12-19 12:45:02	2019-12-25 10:39:53
1680	12463823	12467227	39	2019-12-19	2019-12-19 12:45:11	2019-12-19 12:45:11
1681	12404166	12466153	588	2019-12-19	2019-12-19 14:26:07	2019-12-24 21:05:14
1682	12404299	12466153	372	2019-12-19	2019-12-19 14:26:07	2019-12-24 15:58:26
1683	10002	12466153	1293	2019-12-19	2019-12-19 14:26:07	2019-12-25 18:23:18
1684	12416270	12466153	333	2019-12-19	2019-12-19 14:26:07	2019-12-24 14:24:27
1689	12323748	12466153	1530	2019-12-19	2019-12-19 14:28:42	2019-12-24 01:39:03
1690	12466153	12467092	39	2019-12-19	2019-12-19 14:28:42	2019-12-19 14:28:42
1691	12353726	12466153	333	2019-12-19	2019-12-19 14:28:42	2019-12-24 15:58:26
1692	12464392	12466880	255	2019-12-19	2019-12-19 15:20:59	2019-12-21 18:25:55
1695	12385060	12464392	1494	2019-12-19	2019-12-19 15:28:58	2019-12-24 02:11:16
1698	12465275	12466153	39	2019-12-19	2019-12-19 15:30:50	2019-12-19 15:30:50
1699	12459919	12466153	39	2019-12-19	2019-12-19 15:30:50	2019-12-19 15:30:50
1700	12399737	12466153	39	2019-12-19	2019-12-19 15:30:50	2019-12-19 15:30:50
1701	12389631	12466153	39	2019-12-19	2019-12-19 15:30:50	2019-12-19 15:30:50
1702	12444743	12463823	39	2019-12-19	2019-12-19 15:37:14	2019-12-19 15:37:14
1703	12462557	12463823	78	2019-12-19	2019-12-19 15:37:14	2019-12-20 19:18:09
1704	12444743	12466153	78	2019-12-19	2019-12-19 15:42:14	2019-12-23 05:27:06
1705	12464392	12466153	273	2019-12-19	2019-12-19 15:42:14	2019-12-23 16:57:53
1706	12408509	12466153	156	2019-12-19	2019-12-19 15:42:14	2019-12-23 05:10:26
1707	12435497	12466153	39	2019-12-19	2019-12-19 15:42:14	2019-12-19 15:42:14
1708	12464223	12466153	156	2019-12-19	2019-12-19 15:42:14	2019-12-25 02:07:28
1709	12391682	12466153	39	2019-12-19	2019-12-19 15:42:14	2019-12-19 15:42:14
1710	12464972	12466153	78	2019-12-19	2019-12-19 15:42:14	2019-12-19 16:01:47
1711	12416726	12466153	117	2019-12-19	2019-12-19 15:42:14	2019-12-23 02:06:36
1712	12323748	12467211	138	2019-12-19	2019-12-19 15:53:02	2019-12-19 23:29:43
1714	12357402	12466153	39	2019-12-19	2019-12-19 16:01:47	2019-12-19 16:01:47
1716	12380084	12466153	39	2019-12-19	2019-12-19 16:01:47	2019-12-19 16:01:47
1718	12385060	12466153	1155	2019-12-19	2019-12-19 16:01:47	2019-12-24 17:18:08
1719	12457769	12466153	78	2019-12-19	2019-12-19 16:35:15	2019-12-19 16:49:28
1720	12466153	12467227	78	2019-12-19	2019-12-19 16:35:15	2019-12-19 16:49:28
1723	12458608	12466153	78	2019-12-19	2019-12-19 16:49:28	2019-12-23 05:10:26
1724	12466153	12466880	39	2019-12-19	2019-12-19 16:52:13	2019-12-19 16:52:13
1725	12423516	12466153	39	2019-12-19	2019-12-19 16:52:13	2019-12-19 16:52:13
1726	12388886	12466153	39	2019-12-19	2019-12-19 16:52:13	2019-12-19 16:52:13
