ID	回复回合数	时间数
12050524:12074382 1 0.400000
12050566:12082702 1 0.000000
12050758:12079778 1 0.266667
12050834:12079219 1 0.000000
12050962:12080051 1 0.783333
12051169:12080176 1 0.500000
12051169:12081472 1 0.000000
12051850:12079179 1 0.000000
12052240:12076519 1 0.100000
12052323:12054051 1 0.000000
12052399:12080749 1 0.266667
12053566:12079702 1 0.000000
12054566:12075490 1 87.450000
12055004:12065069 1 0.316667
12055387:12064686 1 193.433333
12056231:12079138 1 0.000000
12056288:12076020 1 0.000000
12056384:12063674 1 0.000000
12057686:12076234 4 43.750000
12060627:12080875 1 0.400000
12060930:12080556 1 0.000000
12061356:12078523 1 0.166667
12063483:12076247 1 0.233333
12063541:12073600 1 0.416667
12063562:12073749 1 0.000000
12063741:12078244 1 0.083333
12064275:12078983 1 0.000000
12064832:12082292 1 0.183333
12065488:12083420 1 0.000000
12065830:12074382 1 0.000000
12065830:12080823 1 0.000000
12066108:12079261 1 551.566667
12066119:12082944 1 0.000000
12066886:12067510 1 0.000000
12067106:12078731 1 0.433333
12067272:12074230 2 24.266667
12067303:12079833 1 0.000000
12067526:12083467 1 0.000000
12067716:12078619 1 0.000000
12067755:12074230 1 0.150000
12067768:12075853 1 1593.300000
12067982:12082693 1 0.000000
12068069:12077300 1 0.000000
12068197:12081359 1 0.266667
12068234:12079550 1 684.183333
12068412:12077589 1 0.000000
12068525:12083922 1 0.000000
12069002:12076835 1 0.383333
12069002:12081678 1 0.216667
12069214:12083233 1 0.000000
12069343:12076992 1 50.250000
12069590:12071896 1 0.000000
12071034:12082702 1 0.000000
12071259:12081994 1 0.000000
12071454:12083253 1 0.383333
12071979:12073051 1 0.000000
12072116:12074702 1 0.116667
12072137:12075148 1 0.000000
12072137:12081281 1 0.000000
12072701:12076212 3 1409.816667
12072852:12081377 1 0.000000
12073956:12074634 1 0.000000
12073991:12080228 1 0.000000
12074230:12077416 2 224.266667
12074455:12079759 1 0.000000
12074702:12081294 1 0.150000
12074824:12082944 1 0.000000
12075084:12075909 1 0.150000
12075528:12082240 1 0.000000
12076212:12078336 1 0.000000
12078235:12080651 1 1088.183333
12078336:12082812 1 0.100000
12080079:12083494 1 0.000000
12080189:12082901 1 0.000000
12080314:12080837 1 0.366667
12080704:12082221 1 0.000000
12081526:12083484 1 0.000000
12082355:12083154 1 0.000000
12050622:12057029 1 26.883333
12050834:12078895 1 0.000000
12051618:12073278 1 0.000000
12052240:12078938 1 0.000000
12052323:12080794 1 0.000000
12052617:12066966 1 0.183333
12053566:12069563 1 0.000000
12054074:12079233 1 0.000000
12054112:12078199 1 0.183333
12054566:12070983 1 0.000000
12055363:12077271 1 0.166667
12055387:12083536 1 0.000000
12055401:12071427 1 0.500000
12055664:12082613 1 0.000000
12055675:12077768 1 0.000000
12056208:12071261 1 0.000000
12056983:12071940 1 0.133333
12056983:12077739 1 0.000000
12057319:12082878 1 273.633333
12059825:12067013 1 0.383333
12060475:12076343 1 0.183333
12060780:12079256 1 0.333333
12061139:12078910 1 0.000000
