ID	回复回合数	时间数
12030561:12104325 16 1821.016667
12030561:12110925 0 0.000000
12030561:12112384 1 41.216667
12030562:12054548 0 0.200000
12030562:12112224 8 8.400000
12030562:12112547 1 1.433333
12030562:12112696 6 16.150000
12030564:12045198 1 1457.200000
12030564:12108678 0 0.316667
12030564:12109649 10 32.116667
12030564:12110455 0 0.233333
12030564:12112550 0 0.766667
12030566:12068397 7 16.983333
12030566:12103837 0 0.000000
12030566:12104325 15 1821.800000
12030566:12109153 0 3310.983333
12030566:12111896 9 11.883333
12030566:12112220 2 2.150000
12030566:12112692 0 0.000000
12030566:12112697 0 0.000000
12030569:12105283 0 0.000000
12030569:12109644 1 85.083333
12030569:12109793 8 1825.266667
12030569:12112376 8 20.600000
12030569:12112689 0 0.233333
12030570:12106741 1 35.983333
12030570:12109642 1 58.983333
12030570:12112375 12 24.366667
12030570:12112693 12 30.450000
12030572:12092880 0 0.000000
12030572:12103508 0 0.000000
12030572:12111238 9 28.333333
12030572:12112373 1 0.766667
12030575:12100770 0 0.133333
12030575:12105277 0 0.000000
12030575:12109304 0 4.216667
12030575:12109638 0 0.000000
12030575:12112683 0 0.000000
12030577:12098181 0 0.000000
12030577:12100770 0 0.033333
12030577:12104792 1 236.333333
12030577:12109630 1 169.400000
12030580:12080617 1 134.483333
12030580:12109144 0 0.116667
12030580:12111238 1 3.766667
12030580:12111882 0 0.000000
12030585:12063056 0 0.000000
12030625:12111354 1 3.833333
12030668:12103728 0 0.000000
12030734:12110274 14 35.183333
12030744:12102856 1 2263.666667
12030744:12108975 0 0.000000
12030745:12101896 4 137.466667
12030745:12110274 1 109.300000
12030749:12108975 10 45.166667
12030750:12109129 0 2003.083333
12030750:12112513 0 0.000000
12030754:12045804 0 0.000000
12030754:12104142 0 0.000000
12030754:12106387 0 0.000000
12030763:12102038 1 1236.200000
12030767:12110252 8 592.250000
12030769:12109433 8 108.133333
12030774:12109433 10 184.683333
12030778:12108946 17 181.583333
12030779:12109433 7 10.666667
12030780:12109433 1 73.966667
12030783:12107807 7 23.433333
12030791:12096201 13 1322.533333
12030793:12112321 8 20.350000
12030797:12109082 1 259.333333
12038363:12111023 0 0.000000
12030561:12074230 0 0.000000
12030561:12105296 0 0.000000
12030561:12109005 0 0.000000
12030561:12109636 0 5.000000
12030561:12110284 1 9.466667
12030561:12111896 1 50.883333
12030562:12045198 0 0.000000
12030562:12109487 9 18.750000
12030562:12109967 7 10.966667
12030562:12111729 1 3.466667
12030562:12111905 1 62.583333
12030562:12112055 10 16.483333
12030562:12112388 8 81.516667
12030562:12112538 9 20.466667
12030564:12104169 0 0.000000
12030564:12104810 0 0.000000
