ID	回复回合数	时间数
10000:12030818 1 1428.850000
10000:12030823 1 1426.666667
10000:12030988 1 1422.133333
10000:12031295 1 1426.100000
10000:12031296 1 1412.616667
10000:12031301 1 1419.916667
10000:12031634 1 1424.283333
10000:12031789 1 1410.416667
10000:12032117 1 1415.316667
10000:12032141 1 1429.300000
10000:12032266 1 1420.466667
10000:12032277 1 1415.466667
10000:12032590 1 1418.033333
10000:12032595 1 1411.166667
10000:12032913 1 1402.533333
10000:12033073 1 1405.600000
10000:12033078 1 1428.816667
10000:12033389 1 1421.000000
10000:12033406 1 1404.650000
10000:12033556 1 1406.416667
10000:12033874 1 1412.133333
10000:12033879 1 1412.433333
10000:12033889 1 1423.700000
10000:12034197 1 1421.316667
10000:12034357 1 1412.516667
10000:12034367 1 1417.216667
10000:12034532 1 1417.800000
10000:12034678 1 1419.700000
10000:12034680 1 1410.133333
10000:12034845 1 1402.600000
10000:12035168 1 1409.733333
10000:12035328 1 1410.433333
10000:12035338 1 1428.666667
10000:12035646 1 1407.233333
10000:12035661 1 1418.816667
10000:12035685 1 1406.266667
10000:12035821 1 1426.666667
10000:12035969 1 1424.550000
10000:12036129 1 1410.066667
10000:12036139 1 1418.150000
10000:12036457 1 1420.900000
10000:12036462 1 1416.233333
10000:12036617 1 1420.016667
10000:12036622 1 1415.216667
10000:12036627 1 1412.000000
10000:12036940 1 1403.733333
10000:12036945 1 1422.350000
10000:12036974 1 1414.116667
10000:12037110 1 1420.150000
10000:12037267 1 1423.500000
10000:12037418 1 1416.366667
10000:12037583 1 1404.866667
10000:12037593 1 1417.900000
10000:12037741 1 1411.766667
10000:12037901 1 1415.833333
10000:12037906 1 1409.433333
10000:12037911 1 1415.016667
10000:12037916 1 1426.933333
10000:12038229 1 1405.950000
10000:12038234 1 1414.066667
10000:12038240 1 1417.566667
10000:12038389 1 1419.500000
10000:12038399 1 1430.116667
10000:12038712 1 1418.516667
10000:12038717 1 1418.400000
10000:12039200 1 1405.183333
10000:12039229 1 1401.050000
10000:12039355 1 1423.233333
10000:12039365 1 1426.316667
10000:12039513 1 1420.500000
10000:12039518 1 1415.483333
10000:12039522 1 1420.600000
10000:12039673 1 1409.550000
10000:12039683 1 1402.366667
10000:12039688 1 1418.783333
10000:12039848 1 1420.916667
10000:12039996 1 1404.950000
10000:12040001 1 1416.500000
10000:12040006 1 1412.133333
10000:12040161 1 1422.883333
10000:12040318 1 1421.333333
10000:12040479 1 1422.266667
10000:12040489 1 1424.716667
12030561:12104325 16 359.150000
12030561:12110925 1 0.000000
12030562:12054548 1 0.200000
12030562:12066334 9 11.733333
12030562:12112224 9 8.400000
12030564:12045198 2 1457.200000
12030564:12105611 1 0.000000
12030564:12108678 1 0.316667
12030564:12109649 11 32.116667
12030564:12110455 1 0.233333
12030566:12068397 8 16.983333
12030566:12103837 1 0.000000
12030566:12104325 15 195.783333
12030566:12109153 9 2969.050000
12030566:12111896 10 11.883333
12030566:12112220 2 2.150000
12030569:12087732 1 0.000000
12030569:12105283 1 0.000000
12030569:12105601 1 0.000000
